,west,east,south,north,central,national
0,[54.64601135253906],[60.32962417602539],[60.070735931396484],[56.81745147705078],[60.1358642578125],[58.02880859375]
1,[54.730918884277344],[60.10722732543945],[60.04286193847656],[55.641761779785156],[58.93222427368164],[57.9487190246582]
2,[54.76641845703125],[59.96696090698242],[59.923343658447266],[54.520755767822266],[58.890602111816406],[57.838138580322266]
3,[54.76641845703125],[58.807533264160156],[58.77718734741211],[53.479087829589844],[57.777408599853516],[57.838138580322266]
4,[53.61459732055664],[57.67301559448242],[57.66212463378906],[53.67118453979492],[57.90839385986328],[56.57024383544922]
5,[52.50870895385742],[57.781131744384766],[57.70262145996094],[53.82207489013672],[56.79539108276367],[55.39731216430664]
6,[52.64817428588867],[57.92874526977539],[57.84362030029297],[53.907203674316406],[55.74003982543945],[55.58283233642578]
7,[52.7357063293457],[56.84658432006836],[56.81863784790039],[53.907203674316406],[55.863040924072266],[55.773223876953125]
8,[52.772621154785156],[56.8724365234375],[56.8406982421875],[53.907203674316406],[57.14589309692383],[55.88161087036133]
9,[52.772621154785156],[56.94752883911133],[56.86442947387695],[53.907203674316406],[57.1959114074707],[55.88161087036133]
10,[53.89187240600586],[58.14950180053711],[58.13335037231445],[55.09031677246094],[58.25499725341797],[54.61777114868164]
11,[54.94229507446289],[59.26641082763672],[59.25762176513672],[56.23346710205078],[59.271854400634766],[54.71467971801758]
12,[55.95669937133789],[60.310001373291016],[60.351463317871094],[57.30467224121094],[60.30488586425781],[54.7956428527832]
13,[56.94553756713867],[61.304134368896484],[61.33690643310547],[58.281982421875],[61.28272247314453],[54.90311813354492]
14,[57.935211181640625],[61.179080963134766],[61.17130661010742],[59.260711669921875],[61.184017181396484],[54.90311813354492]
15,[58.92606735229492],[61.02592086791992],[62.18095779418945],[59.03966522216797],[62.173336029052734],[54.90311813354492]
16,[59.91813278198242],[62.10112380981445],[63.193424224853516],[60.0536003112793],[63.19143295288086],[54.90311813354492]
17,[59.85756301879883],[62.0992546081543],[64.29467010498047],[61.1204948425293],[64.22311401367188],[54.90311813354492]
18,[60.87323760986328],[63.15781021118164],[65.2811279296875],[60.99797439575195],[65.2054672241211],[56.154048919677734]
19,[61.89212417602539],[61.925357818603516],[66.26786804199219],[62.01106262207031],[66.18890380859375],[57.3108024597168]
20,[62.901981353759766],[61.8521842956543],[68.41287231445312],[63.084075927734375],[68.19120788574219],[57.156890869140625]
21,[64.89256286621094],[61.85792541503906],[69.37686920166016],[64.17375183105469],[69.20397186279297],[56.96953582763672]
22,[65.90597534179688],[61.93703079223633],[70.33854675292969],[66.37728118896484],[70.17013549804688],[56.85995101928711]
23,[66.90188598632812],[61.93703079223633],[71.20635223388672],[67.3471450805664],[71.12115478515625],[58.117008209228516]
24,[66.88064575195312],[64.22064208984375],[72.19503021240234],[69.45777130126953],[72.11039733886719],[58.02880859375]
25,[67.8896713256836],[64.24385070800781],[73.18405151367188],[70.3267593383789],[73.10050201416016],[57.9487190246582]
26,[67.87486267089844],[64.0687026977539],[72.98330688476562],[71.20894622802734],[73.0169448852539],[56.57024383544922]
27,[68.89767456054688],[65.07283782958984],[74.00346374511719],[72.08367156982422],[74.0167465209961],[56.66801071166992]
28,[69.9137191772461],[65.07086944580078],[73.82437133789062],[73.0750503540039],[73.94815063476562],[56.75065231323242]
29,[70.9184799194336],[64.97978973388672],[74.99020385742188],[72.81193542480469],[75.00875854492188],[56.85995101928711]
30,[71.92677307128906],[66.06478881835938],[76.00962829589844],[73.82862854003906],[76.03645324707031],[56.859954833984375]
31,[71.93737030029297],[67.21997833251953],[77.14340209960938],[73.67631530761719],[77.06889343261719],[56.859954833984375]
32,[71.91364288330078],[67.1386489868164],[75.72583770751953],[73.56317901611328],[75.84908294677734],[56.85995101928711]
33,[71.89973449707031],[66.95972442626953],[74.39620208740234],[73.44462585449219],[74.55020141601562],[56.85995101928711]
34,[71.89973449707031],[65.67717742919922],[74.3047866821289],[72.2168197631836],[74.59121704101562],[55.5941047668457]
35,[69.64183044433594],[65.70048522949219],[73.30268096923828],[71.04314422607422],[73.54351043701172],[55.69143295288086]
36,[69.74180603027344],[64.60289001464844],[72.30574798583984],[69.97624206542969],[72.47771453857422],[55.773223876953125]
37,[68.68653869628906],[64.71813201904297],[72.35216522216797],[69.00370788574219],[72.61270141601562],[55.88161087036133]
38,[67.65293884277344],[64.8089599609375],[71.35161590576172],[69.21350860595703],[71.56769561767578],[57.13557052612305]
39,[67.74775695800781],[64.8956298828125],[71.51679229736328],[68.20735168457031],[71.7081069946289],[57.048709869384766]
40,[67.80970764160156],[64.8956298828125],[70.37601470947266],[69.55211639404297],[70.5802993774414],[56.96953582763672]
41,[67.83161926269531],[64.8956298828125],[69.37958526611328],[69.61856079101562],[69.51737976074219],[58.117008209228516]
42,[67.83161926269531],[66.06478881835938],[69.4233169555664],[69.62853240966797],[68.4348373413086],[55.499244689941406]
43,[66.71996307373047],[64.88333892822266],[67.28902435302734],[67.11913299560547],[67.44963836669922],[55.608551025390625]
44,[64.42115783691406],[63.62223434448242],[65.20428466796875],[64.86820983886719],[65.22325134277344],[54.39834213256836]
45,[63.43203353881836],[61.304378509521484],[63.06395721435547],[62.809104919433594],[63.06216812133789],[53.44681930541992]
46,[61.2661018371582],[59.22378158569336],[61.12070846557617],[60.871517181396484],[60.99512481689453],[52.36296463012695]
47,[60.39479064941406],[57.22783279418945],[60.25003433227539],[60.05042266845703],[59.03528594970703],[52.654720306396484]
48,[59.45283508300781],[57.57210922241211],[59.392269134521484],[58.08256149291992],[58.32356262207031],[51.579261779785156]
49,[58.486961364746094],[56.69904708862305],[58.527469635009766],[57.21234130859375],[58.72475814819336],[51.78378677368164]
50,[57.48021697998047],[55.72005081176758],[58.680152893066406],[56.31020736694336],[58.95247268676758],[51.862361907958984]
51,[57.64727020263672],[55.82696533203125],[58.82258605957031],[56.57200622558594],[59.02912902832031],[51.96721267700195]
52,[56.57621383666992],[55.96675109863281],[57.798072814941406],[56.728843688964844],[57.864688873291016],[51.96721267700195]
53,[55.51366424560547],[56.03289031982422],[57.81987380981445],[56.81745147705078],[57.90839385986328],[50.71076965332031]
54,[55.64529037475586],[56.03289031982422],[57.84362030029297],[56.81745147705078],[57.97058868408203],[50.806724548339844]
55,[54.57154846191406],[56.03289031982422],[57.962589263916016],[56.81745147705078],[58.04776382446289],[50.88456726074219]
56,[53.51041793823242],[56.03289031982422],[57.962589263916016],[58.005615234375],[58.04776382446289],[50.98857498168945]
57,[53.646484375],[54.88637161254883],[57.962589263916016],[57.964935302734375],[56.88279342651367],[47.19512939453125]
58,[54.8570671081543],[54.91498947143555],[56.81863784790039],[56.69856643676758],[55.74003982543945],[47.51712417602539]
59,[54.842681884765625],[54.9864616394043],[57.98967742919922],[57.83430480957031],[54.66740417480469],[45.21858596801758]
60,[53.66093826293945],[55.05068588256836],[57.98853302001953],[57.869590759277344],[54.88223648071289],[44.48099899291992]
61,[53.68336486816406],[55.05068588256836],[58.07917404174805],[57.88219451904297],[55.028865814208984],[44.74838638305664]
62,[53.732730865478516],[55.05068588256836],[57.962589263916016],[57.78953552246094],[55.1079216003418],[41.22983932495117]
63,[51.41854476928711],[53.906494140625],[55.689369201660156],[55.44990539550781],[52.73774719238281],[31.605213165283203]
64,[50.39627456665039],[52.79117202758789],[55.72590637207031],[55.535335540771484],[52.851802825927734],[26.97286033630371]
65,[46.94175338745117],[51.752498626708984],[54.63496017456055],[54.51426315307617],[51.802005767822266],[28.60810089111328]
66,[47.48122024536133],[51.92287826538086],[54.881534576416016],[54.71800231933594],[52.0274772644043],[30.39529037475586]
67,[49.99132537841797],[53.178916931152344],[54.90528106689453],[54.79009246826172],[53.2372932434082],[33.0341911315918]
68,[51.05873107910156],[53.21729278564453],[56.16941833496094],[56.06079864501953],[53.287445068359375],[34.050132751464844]
69,[52.04215621948242],[54.26045608520508],[57.29047775268555],[57.20814514160156],[54.35295867919922],[34.96724319458008]
70,[51.89894104003906],[54.20136642456055],[58.38115310668945],[58.281982421875],[54.26338577270508],[34.66679763793945]
71,[51.81631088256836],[55.24498748779297],[59.36622619628906],[59.260711669921875],[54.20773696899414],[36.88723373413086]
72,[52.90144729614258],[55.186214447021484],[59.20449447631836],[59.03966522216797],[54.12937545776367],[36.68035125732422]
73,[53.95364761352539],[56.230655670166016],[59.061058044433594],[58.8566780090332],[54.12937545776367],[37.7430305480957]
74,[53.88383865356445],[56.171810150146484],[60.09734344482422],[59.95536804199219],[54.12937545776367],[38.688392639160156]
75,[52.660194396972656],[56.09611129760742],[60.070735931396484],[59.918190002441406],[54.12937545776367],[40.903564453125]
76,[52.685386657714844],[56.03289031982422],[58.89418029785156],[58.64419937133789],[54.12937545776367],[42.97293472290039]
